X1	Y1	Z1	T1	VX1	VY1	DEM_ID1	X2	Y2	Z2	T2	VX2	VY2	DEM_ID2
-756946.8179	972820.3731	80.459227	2021.093151	-500.376	714.436	11	-756932.7196	972800.9504	70.96798	2021.060274	-498.847	709.672	12
-769526.4109	990815.7995	77.786948	2021.093151	-500.376	714.436	11	-769497.2797	990770.3312	69.196692	2021.060274	-500.376	714.436	12
-738225.5466	961140.5596	72.469368	2021.060274	-474.498	553.717	12	-738123.977	961019.5409	69.795142	2020.860274	-474.117	550.834	13
-757141.8868	986839.8802	70.7773	2021.060274	-435.535	655.198	12	-757052.143	986705.0098	68.1831	2020.860274	-433.747	649.397	13
-746419.7126	968507.0218	71.366865	2021.060274	-468.907	586.119	12	-746327.5123	968391.2505	68.5427	2020.860274	-467.791	584.944	13
-764860.1858	992188.8659	67.824355	2021.060274	-499.952	751.144	12	-764760.7554	992036.4293	65.13968	2020.860274	-506.121	748.494	13
-753484.9645	995481.779	62.6456	2020.860274	-445.321	656.007	13	-753439.3829	995416.0346	61.8066	2020.758904	-440.518	648.948	14
-727402.5762	966042.2312	67.191	2020.860274	-401.758	467.816	13	-727360.2106	965996.9638	66.2593	2020.758904	-399.74	452.063	14
-747300.1017	983033.378	68.307833	2020.860274	-424.531	603.831	13	-747259.3427	982976.4684	67.549524	2020.758904	-425.425	607.617	14
-757671.7626	997265.2341	66.2878	2020.860274	-428.546	699.676	13	-757624.4214	997188.6912	65.4158	2020.758904	-436.82	707.82	14
-735846.2399	990453.3737	62.172075	2020.758904	-237.711	296.188	14	-735834.1898	990440.0024	66.205155	2020.731507	-239.129	297.869	15
-746121.6675	1004579.493	51.331	2020.758904	-269	443.562	14	-746117.1839	1004572.868	55.5792	2020.731507	-269	443.494	15
-721570.9225	966987.0928	64.0935	2020.758904	-290.21	299.047	14	-721567.5882	966982.1046	67.9614	2020.731507	-290.006	298.531	15
-720723.3829	971998.2013	64.1289	2020.758904	-174.708	166.571	14	-720717.4674	972003.5871	68.6722	2020.731507	-174.304	165.97	15
