X1	Y1	Z1	T1	VX1	VY1	DEM_ID1	X2	Y2	Z2	T2	VX2	VY2	DEM_ID2
-831933.0587	865913.344	415.36155	2016.835616	-4.941282	10.951265	1	-831942.0763	865917.6664	419.5786	2017.010959	-4.932373	10.938904	2
-845036.2308	881868.7793	62.1155	2016.835616	21.567804	26.941081	1	-845037.9012	881867.6794	66.1851	2017.010959	21.581072	26.96543	2
-877390.4529	912682.2925	219.7243	2016.835616	12.626308	16.46784	1	-877391.813	912683.7588	224.2839	2017.010959	12.632821	16.46213	2
-885110.0262	922273.6062	40.7721	2016.835616	-1.606815	41.137864	1	-885109.0147	922277.4762	45.1365	2017.010959	-1.663689	41.120519	2
-880007.7362	928249.3371	54.305926	2017.010959	-807.414	510.623	2	-879978.8665	928231.3777	54.866374	2016.969863	-810.407	515.916	3
-862984.0592	910684.139	56.791754	2017.010959	-308.621	367.723	2	-862969.2357	910669.6181	57.019171	2016.969863	-305.215	366.912	3
-851577.4709	901028.8297	63.30678	2017.010959	-190.478	239.99	2	-851562.361	901025.643	62.882874	2016.969863	-187.276	239.661	3
-832569.3658	876725.2382	76.441018	2017.010959	10.120102	8.327429	2	-832564.3976	876733.9168	75.61326	2016.969863	10.003673	8.426705	3
-865105.1515	937460.5124	59.231268	2016.969863	0	0	3	-865106.3875	937458.94	51.510139	2016.972603	0	0	4
-855943.064	925774.2323	61.669084	2016.969863	0	0	3	-855944.5432	925770.5159	54.416926	2016.972603	0	0	4
-843355.6666	910626.4876	62.913601	2016.969863	0	0	3	-843356.3724	910624.6163	56.107848	2016.972603	0	0	4
-831824.5846	898700.044	66.740941	2016.969863	0	0	3	-831826.3091	898696.4348	60.334534	59.0013	0	0	4
-862124.9659	953157.0564	51.529593	2016.972603	-990.791	1109.9	4	-861904.9359	952932.2878	62.555889	2016.767123	-978.47	1109.21	5
-851028.2654	943414.0967	55.367502	2016.972603	-887.69	1042.55	4	-850835.7	943208.4796	66.286815	2016.767123	-887.693	1068.59	5
-821837.2178	909166.9262	63.2432	2016.972603	-711	783	4	-821686.7679	909003.3331	75.901244	2016.767123	-711	783	5
-839062.7348	926371.6391	57.330383	2016.972603	-802.62	926.308	4	-838881.4897	926184.0065	69.070722	2016.767123	-753.413	936.218	5
-840233.7387	950547.1301	69.218004	2016.767123	-886.144	1139.44	5	-840429.7087	950760.5182	59.066734	2016.969863	-867.081	1163	6
-832020.5076	937393.7313	69.54267	2016.767123	-832.092	1079.82	5	-832201.6806	937592.7371	59.509622	2016.969863	-828	1079.69	6
